,Brand,Link,Price,Rating
0,Apparition,https://privadacigarclub.com/shop/apparition/,$13.00,
1,Kveezo Artist Series Maduro Aged 3 years,https://privadacigarclub.com/shop/kveezo-artist-series-maduro-aged-3-years/,$11.00,
2,Summer Smoke 2021 with Water Resistant Pack,https://privadacigarclub.com/shop/summer-smoke-2021-with-water-resistant-pack/,$7.00 – $77.00,5.00
3,Patisserie Cigars Macaron Series,https://privadacigarclub.com/shop/patisserie/,$11.00 – $12.00,4.75
4,Rittz Jesus Blanco,https://privadacigarclub.com/shop/rittz-jesus-blanco/,$10.00 – $240.00,
5,Mr. Robot Fumador by Mr. Robot Cigars Aged 1 Year,https://privadacigarclub.com/shop/mr-robot-fumador-by-mr-robot-cigars-aged-1-year/,$10.00,5.00
6,Aganorsa Supreme Leaf PCC Exclusive 6×50,https://privadacigarclub.com/shop/aganora-supreme-leaf-pcc-exclusive-2021/,$11.00,
7,Yellow Bird by Aladino Aged 7 Months,https://privadacigarclub.com/shop/yellow-bird-by-aladino-aged-7-months/,$11.00,5.00
8,Father’s Day Cigar Bundle,https://privadacigarclub.com/shop/fathers-day-bundle/,$25.00,
9,Cigar Clown The Mark,https://privadacigarclub.com/shop/cigar-clown-the-mark-new-release-5-pack/,$10.00,5.00
10,Henderson’s Very Own Blend 5 Pack,https://privadacigarclub.com/shop/liga-brava-5-pack/,$50.00,5.00
11,Back To The Future Part 4,https://privadacigarclub.com/shop/back-to-the-future-part-4/,$40.00,
12,Twin Pines by Jochy Blanco,https://privadacigarclub.com/shop/twin-pines-by-jochy-blanco/,$10.50,5.00
13,Rojas Cigars Peruvian Gold Aged 11 Months,https://privadacigarclub.com/shop/rojas-cigars-peruvian-gold-aged-11-months/,$12.00,
14,Aganorsa Leaf Wavy Wafer Aged 10 Months,https://privadacigarclub.com/shop/aganorsa-leaf-wavy-wafer-aged-10-months/,$11.00,5.00
15,Sons Of Ash Lancero,https://privadacigarclub.com/shop/sons-of-ash-lancero/,$9.00,5.00
16,Pistoff Kristoff Gunplay By Kristoff Privada Exclusive Aged 10 Months,https://privadacigarclub.com/shop/pistoff-kristoff-gunplay-by-kristoff-privada-exclusive-aged-10-months/,$11.00,
17,#Chargerash by Aladino,https://privadacigarclub.com/shop/chargerash/,$3.00 – $95.00,5.00
18,Half Cookie,https://privadacigarclub.com/shop/half-cookie/,$10.00,5.00
19,Blanco No. 9 Aged 11 Months,https://privadacigarclub.com/shop/blanco-no-9-aged-11-months/,$11.00,5.00
20,Blanco No. 5 Aged 11 Months,https://privadacigarclub.com/shop/blanco-no-5-aged-11-months/,$11.00,5.00
21,Mad Monkey Limited Edition,https://privadacigarclub.com/shop/mad-monkey-limited-edition-1/,$9.00,5.00
22,La Sirena Old School Jaxx (Aged 10 Years),https://privadacigarclub.com/shop/la-sirena-old-school-jaxx/,$9.50 – $200.00,5.00
23,Ice Cream Habano (Golden Cone),https://privadacigarclub.com/shop/ice-cream-habano-golden-cone/,$10.00 – $11.50,4.00
24,Ice Cream Maduro (Chocolate Cone),https://privadacigarclub.com/shop/ice-cream-maduro-chocolate-cone/,$10.00 – $11.50,4.75
25,HVC Hot Chocolate Cake Privada 2021 Exclusive 6×50,https://privadacigarclub.com/shop/hvc-hot-chocolate-cake-privada-2021-exclusive-6x50/,$9.50,5.00
26,Montenegro Batista,https://privadacigarclub.com/shop/montenegro-batista/,$12.00,4.86
27,Diablo Del Desierto,https://privadacigarclub.com/shop/el-diablo/,$11.00,5.00
28,Black Bird Cigar Co. The Rio Restock,https://privadacigarclub.com/shop/black-bird-cigar-co-the-rio-restock/,$10.00,
29,January Box,https://privadacigarclub.com/shop/january-box/,$25.99,
30,Capo Habano by Capo Cigars Aged 1 Year,https://privadacigarclub.com/shop/capo-habano-by-capo-cigars-aged-1-year/,$12.00,5.00
31,Caliber Joint Services Maduro,https://privadacigarclub.com/shop/caliber-joint-services-maduro/,$11.00,
32,Caliber Joint Services Habano,https://privadacigarclub.com/shop/caliber-joint-services-habano/,$5.00,4.50
33,Kings County 5×60 Limited Release (Unbelievable),https://privadacigarclub.com/shop/kings-county-5x60-limited-release-unbelievable/,$13.00,5.00
34,Black History Month Scholarship Cigar,https://privadacigarclub.com/shop/black-history-month-scholarship-cigar/,$12.00,4.00
35,EPC Encore 2017 Aged 3+ Years (The Original Cigar Of The Year Batch),https://privadacigarclub.com/shop/epc-encore-2017-aged-3-years-the-original-cigar-of-the-year-batch/,$11.00 – $12.00,5.00
36,Crux Epicure Lonsdale Privada Aged Just Under One Year,https://privadacigarclub.com/shop/crux-epicure-lonsdale-privada-aged-just-under-one-year/,$10.00,
37,Smoking Jacket,https://privadacigarclub.com/shop/smoking-jacket/,$10.00,
38,Caliber Joint Services Connecticut,https://privadacigarclub.com/shop/caliber-joint-services-connecticut/,$10.00,5.00
39,Red Laugh Aged 6 years,https://privadacigarclub.com/shop/red-laugh-aka-the-elmo/,$10.00,4.38
40,Espinosa Cigars Hialeah Gardens Limited Edition,https://privadacigarclub.com/shop/hialeah-gardens/,$11.00,5.00
41,Edgar Hoill EH Vida Prensado Aged 5 Years,https://privadacigarclub.com/shop/eh-cigars/,$10.00,
42,Halloween Box,https://privadacigarclub.com/shop/halloween-box/,$27.99,5.00
43,Blackbird Idalia 108 Toro,https://privadacigarclub.com/shop/blackbird-idalia-108-toro/,$10.00,4.67
44,El Nuevo Comienzo Privada Limitada by Paul Stulac,https://privadacigarclub.com/shop/el-nuevo-comienzo-privada-limitada/,$12.00,5.00
45,El Nuevo Comienzo Paul Stulac Exclusiva,https://privadacigarclub.com/shop/el-nuevo-comienzo-paul-stulac-exclusiva/,$12.00,4.67
46,AGED Honduran Gems Sampler (5 years +),https://privadacigarclub.com/shop/christmas-bundle-1/,$30.00,5.00
47,Lost & Found Chance,https://privadacigarclub.com/shop/lost-found-chance/,$100.00 $95.00,
48,Christmas Bundle #2,https://privadacigarclub.com/shop/christmas-bundle-2/,$26.00,4.50
49,Santa’s Here Vol 2 Rothschild #Bundlefever,https://privadacigarclub.com/shop/santas-here-vol-2-rothschild-bundlefever/,$40.00,4.50
50,School Bus Connecticut Toro#Bundlefever,https://privadacigarclub.com/shop/school-bus-connecticut-torobundlefever/,$36.25,4.00
51,Mad Love Vol 2 #Bundlefever,https://privadacigarclub.com/shop/mad-love-vol-2-bundlefever/,$37.00,5.00
52,Edgar Sued Monovarietal Corojo Edition PCC,https://privadacigarclub.com/shop/edgar-sued-monovarietal-corojo-edition/,$9.00,5.00
53,The Cannoli PCC By Amendola Cigars,https://privadacigarclub.com/shop/the-cannoli-by-amendola-cigars/,$10.00,4.67
54,PB Cup Robusto Unbanded AGED 4 Years,https://privadacigarclub.com/shop/pb-cup-robusto-unbanded-aged-4-years/,$8.00,5.00
55,Sinistro Plata y Plomo,https://privadacigarclub.com/shop/sinistro-plata-y-plomo/,$12.00,
56,Privada Reserve Stag 2019 (Thanksgiving) AKA Banker Light by KAFIE 1901,https://privadacigarclub.com/shop/privada-reserve-stag-2019-thanksgiving-aka-banker-light-by-kafie-1901/,$10.00 – $35.00,4.25
57,Sinistro Destro Set Limited Edition Sampler,https://privadacigarclub.com/shop/sinistro-destro-set-limited-edition-sampler/,$160.00,5.00
58,The Vince By Black Bird Cigars Aged 1 Year,https://privadacigarclub.com/shop/the-vince-by-black-bird-cigars-aged-1-year/,$11.00,
59,Privada Donation,https://privadacigarclub.com/shop/privada-donation/,$15.00 – $50.00,
60,HVC 500 Limited Edition Short Robusto PCC Exclusive,https://privadacigarclub.com/shop/hvc-500-limited-edition-short-robusto/,$9.00,4.75
61,Uncle Paulie’s Deli Lancero,https://privadacigarclub.com/shop/uncle-paulies-deli-lancero/,$9.00,5.00
62,French Collection Fraternitas Torpedo Aged 4 Years,https://privadacigarclub.com/shop/fraternitas-torpedo-aged-4-years/,$10.00,4.67
63,Espinosa Connecticut Cuban Link,https://privadacigarclub.com/shop/espinosa-connecticut-cuban-link/,$10.00,5.00
64,Dapper Desvalido PCC,https://privadacigarclub.com/shop/dapper-desvalido/,$12.00,5.00
65,Eddie’s Deep Reserve,https://privadacigarclub.com/shop/eddies-deep-reserve/,$24.42,4.75
66,Sinistro Islay,https://privadacigarclub.com/shop/sinistro-islay/,$13.00,5.00
67,French Collection Cardinal Richelieu,https://privadacigarclub.com/shop/french-collection-cardinal-richelieu/,$10.00,4.00
68,Young Tabacaleros Freshman Lancero,https://privadacigarclub.com/shop/young-tabacaleros-young-freshman-lanceros/,$14.00,3.00
69,Illusione Cigares Privé PCC Exclusive,https://privadacigarclub.com/shop/illusione-cigares-prive-5-3-4-x-42/,$10.00,4.00
70,Sinistro La Fabrica Barba Roja,https://privadacigarclub.com/shop/sinistro-la-fabrica-barba-roja/,$45.00,
71,French Collection Cardinal Louis XIV Aged 4 Years,https://privadacigarclub.com/shop/french-collection-cardinal-louis-xiv/,$10.00,4.75
72,Tehran Banker Dark by Kafe 1901 Cigars,https://privadacigarclub.com/shop/tehran-banker-dark-by-kafe-1901-cigars/,$9.00,5.00
73,French Collection Cardinal Mazarin,https://privadacigarclub.com/shop/french-collection-cardinal-mazarin/,$10.00,5.00
74,Cigar Obsession 1st Third AGED 5 YEARS!!!,https://privadacigarclub.com/shop/cigar-obsession-1st-third-toro/,$8.00,4.71
75,Fake Cuban #190,https://privadacigarclub.com/shop/fake-cuban/,$9.00,3.45
76,Montenegro Red Label Gordito,https://privadacigarclub.com/shop/montenegro-red-label-gordito/,$11.00,5.00
77,Pier 28 Maduro Rabito Box-Pressed PCC Exclusive,https://privadacigarclub.com/shop/pier-28-maduro-rabito-box-pressed-pcc-exclusive/,$7.00,2.00
78,DO NOT BUY THIS,https://privadacigarclub.com/shop/do-not-buy-this/,$8.50,4.94
79,CLE PLUS 2013 Aged 7 Years,https://privadacigarclub.com/shop/cle-plus-2013-aged-7-years/,$11.00 – $11.50,4.57
80,Montenegro Red Label Corona Aged 4.5 Years (Farmers Blend),https://privadacigarclub.com/shop/montenegro-red-label-corona-aged-4-5-years-farmers-blend/,$20.00 $10.00,4.80
81,Southern Draw Connecticut Shade Privada Cigar Club 2020 Exclusive Aged 1 year,https://privadacigarclub.com/shop/southern-draw-connecticut-shade-privada-cigar-club-2020-exclusive-aged-1-year/,$12.00,4.50
82,Southern Draw Habano Privada Cigar Club 2020 Exclusive Aged 1 year,https://privadacigarclub.com/shop/southern-draw-habano-privada-cigar-club-2020-exclusive-aged-1-year/,$12.00,5.00
83,Espinosa Silver Toro Event Only Cigar Aged 2 years,https://privadacigarclub.com/shop/349685/,$12.00,5.00
84,Lost & Found Purple Drank,https://privadacigarclub.com/shop/lost-found-purple-drank/,$12.00,4.36
85,The Good Life by Brian Desind (J.C. Newman) 2nd Edition,https://privadacigarclub.com/shop/the-good-life-by-brian-desind-j-c-newman/,$11.00,4.89
86,Uncle Paulie’s Deli Robusto,https://privadacigarclub.com/shop/uncle-paulies-deli-aka-the-good-morning/,$9.00,4.92
87,Padilla 1932 Robusto aged 2.5 years,https://privadacigarclub.com/shop/padilla-1932-robusto-aged-2-5-years/,$13.00,5.00
88,Room 101 Ichiban Salamon 2015 Aged 5 years made exclusively for West Side Humidor in Kansas,https://privadacigarclub.com/shop/room-101-ichiban-salamon-2015-aged-4-years-made-exclusively-for-west-side-humidor-in-kansas/,$20.00,4.40
89,My Blue Heaven the RE-UP!! 2020 Un-Banded,https://privadacigarclub.com/shop/my-blue-heaven/,$11.00,4.88
90,Avo LE 05 2017 (Lost Edition),https://privadacigarclub.com/shop/avo-le-05-2017-lost-edition/,$12.00,5.00
91,HVC PCC Exclusive,https://privadacigarclub.com/shop/hvc-pcc-exclusive/,$12.00,4.50
92,Kuwait Diplomat,https://privadacigarclub.com/shop/kuwait-diplomat/,$15.00,5.00
93,The Gift Box,https://privadacigarclub.com/shop/the-gift-box/,$26.99,4.67
94,My Blue Heaven Cigar Band Sticker-Donates to charity,https://privadacigarclub.com/shop/my-blue-heaven-cigar-band-sticker/,$3.00,5.00
95,The Cult Torpedo 2012 Vintage,https://privadacigarclub.com/shop/the-cult-churchill-2012-vintage/,$15.00,4.67
96,Paul Stulac Red Screaming Sun 2019 Privada Exclusive Release Lancero,https://privadacigarclub.com/shop/paul-stulac-red-screaming-sun-2019-privada-exclusive-release-lancero/,$9.50,4.90
